name,start,end,size
noop_wrapper_h_1,0x00114fc0,0x00114fc8,0x8
sub_114FC8,0x00114fc8,0x00115254,0x28c
wrap_sub_115258,0x00115258,0x00115280,0x28
sub_115280,0x00115280,0x001152e0,0x60
get_field_val_f_1,0x001152e0,0x001152e8,0x8
obj_set_field_byte,0x001152e8,0x001152f0,0x8
get_field_val_g_1,0x001152f0,0x001152f8,0x8
obj_set_field_pair_p_clone_01,0x00115318,0x00115348,0x30
obj_set_field_pair_p_clone_02,0x00115368,0x00115398,0x30
obj_set_field_pair_c_0_clone_02,0x00115398,0x001153c4,0x2c
move_tick_dispatch_f_0,0x00115478,0x00115500,0x88
obj_set_field_pair_p_clone_03,0x00115500,0x00115530,0x30
sub_115530,0x00115530,0x00115594,0x64
wrap_dword_43C964,0x00115598,0x001155bc,0x24
obj_set_field_pair_p_clone_04,0x001155c0,0x001155f0,0x30
sub_1155F0,0x001155f0,0x0011597c,0x38c
wrap_mem_compare_n_01,0x00115980,0x001159e4,0x64
sub_1159E8,0x001159e8,0x00115af8,0x110
sub_115AF8,0x00115af8,0x00115c10,0x118
sub_115C10,0x00115c10,0x00115dc4,0x1b4
sub_115DC8,0x00115dc8,0x00115f48,0x180
noop_wrapper_d,0x00115f48,0x00115f70,0x28
sub_115F70,0x00115f70,0x00116288,0x318
sub_116288,0x00116288,0x001162e0,0x58
sub_1162E0,0x001162e0,0x001163f0,0x110
sub_1163F0,0x001163f0,0x001164ec,0xfc
sub_1164F0,0x001164f0,0x00116688,0x198
sub_116688,0x00116688,0x00116808,0x180
sub_116808,0x00116808,0x001169b0,0x1a8
field_type_dispatch,0x001169b0,0x001169f0,0x40
return_zero_2,0x001169f0,0x001169f8,0x8
dat_callback_dispatch,0x00116a10,0x00116a44,0x34
return_zero_b,0x00116a48,0x00116a64,0x1c
return_zero_b_0,0x00116a68,0x00116a84,0x1c
sub_116A88,0x00116a88,0x00116c3c,0x1b4
noop_wrapper_e,0x00116c40,0x00116cac,0x6c
get_global_var_2,0x00116ce0,0x00116cec,0xc
wrap_wrap_mem_set_h,0x00116cf0,0x00116d2c,0x3c
wrap_return_zero_b_0,0x00116d30,0x00116d64,0x34
sub_116D68,0x00116d68,0x00116d98,0x30
obj_add_field_pair,0x00116d98,0x00116db4,0x1c
obj_set_fields_b,0x00116db8,0x00116df0,0x38
sub_116DF0,0x00116df0,0x00116f0c,0x11c
obj_set_fields___80_clone_01,0x00116f10,0x00116f54,0x44
sub_116F58,0x00116f58,0x00117244,0x2ec
sub_117250,0x00117250,0x001172ec,0x9c
sub_1172F0,0x001172f0,0x00117464,0x174
obj_set_field_pair_b,0x00117468,0x00117474,0xc
get_field_val_h_2,0x00117488,0x00117490,0x8
get_field_val,0x00117490,0x00117498,0x8
blend_state_is_idle_clone_01,0x001174a0,0x001174f0,0x50
get_field_val_i_2,0x001174f0,0x001174f8,0x8
get_field_val_j_0,0x00117560,0x00117568,0x8
get_field_val_b,0x00117568,0x00117570,0x8
get_field_val_k_0,0x00117570,0x00117578,0x8
get_field_val_l_0,0x00117578,0x00117580,0x8
get_field_val_c,0x001175b8,0x001175c0,0x8
get_field_val_d,0x001175c0,0x001175c8,0x8
get_field_val_m_0,0x001175c8,0x001175d8,0x10
noop_wrapper_i_1,0x001175d8,0x001175e0,0x8
obj_set_fields_b_1,0x001175e0,0x00117620,0x40
wrap_obj_set_fields_l_0,0x00117620,0x00117660,0x40
obj_set_fields_c,0x00117660,0x001176c4,0x64
sub_1176C8,0x001176c8,0x0011770c,0x44
sub_117740,0x00117740,0x00117840,0x100
get_field_val_e,0x00117840,0x00117848,0x8
obj_ctor_init_k_clone_01,0x00117848,0x001178c4,0x7c
obj_set_field_pair_c,0x001178c8,0x001178e0,0x18
noop_wrapper_f,0x001178e0,0x00117924,0x44
obj_set_fields_e,0x00117928,0x00117968,0x40
get_field_val_f,0x00117968,0x00117970,0x8
get_field_val_g,0x00117970,0x00117978,0x8
get_field_val_n_0,0x00117988,0x00117990,0x8
sub_117990,0x00117990,0x001179dc,0x4c
sub_1179E0,0x001179e0,0x00117a38,0x58
sub_117A38,0x00117a38,0x00117a8c,0x54
sub_117A90,0x00117a90,0x00117b94,0x104
sub_117B98,0x00117b98,0x00117bc4,0x2c
sub_117BC8,0x00117bc8,0x00117c34,0x6c
noop_wrapper_g,0x00117c38,0x00117c58,0x20
sub_117C58,0x00117c58,0x00117de0,0x188
state_byte_transition_q_01,0x00117de0,0x00117f30,0x150
state_byte_transition___50_0,0x00117f30,0x0011807c,0x14c
sub_118080,0x00118080,0x001180e0,0x60
sub_1180E0,0x001180e0,0x00118200,0x120
sub_118200,0x00118200,0x001182f4,0xf4
sub_1182F8,0x001182f8,0x0011846c,0x174
wrap_mem_compare_n,0x00118470,0x00118498,0x28
sub_118498,0x00118498,0x001186c8,0x230
sub_1186C8,0x001186c8,0x001187c4,0xfc
sub_1187C8,0x001187c8,0x0011893c,0x174
sub_118940,0x00118940,0x00118ad4,0x194
sub_118AD8,0x00118ad8,0x00118c74,0x19c
wrap_mem_compare_n_0,0x00118c78,0x00118cdc,0x64
field_type_dispatch_b,0x00118ce0,0x00118d38,0x58
sub_118D38,0x00118d38,0x00118d68,0x30
sub_118D68,0x00118d68,0x00118d94,0x2c
noop_wrapper,0x00118d98,0x00118dac,0x14
noop_wrapper_b,0x00118db0,0x00118dc4,0x14
noop_a,0x00118dc8,0x00118dd0,0x8
noop_b,0x00118dd0,0x00118dd8,0x8
sub_118DD8,0x00118dd8,0x00118f34,0x15c
state_sub_c240_clone_01,0x00118f38,0x00118fb8,0x80
sub_118FB8,0x00118fb8,0x0011905c,0xa4
sub_119060,0x00119060,0x00119160,0x100
sub_119160,0x00119160,0x001191e0,0x80
sub_1191E0,0x001191e0,0x00119258,0x78
sub_119258,0x00119258,0x0011938c,0x134
mem_fill_z_11_0,0x00119390,0x00119458,0xc8
sub_119458,0x00119458,0x001196b8,0x260
sub_1196B8,0x001196b8,0x001198d4,0x21c
sub_1198D8,0x001198d8,0x00119934,0x5c
iop_bind_or_call_clone_01,0x00119938,0x0011998c,0x54
sub_119990,0x00119990,0x00119b6c,0x1dc
noop_wrapper_h,0x0011a280,0x0011a2f0,0x70
wrap_mem_set,0x0011a2f0,0x0011a328,0x38
wrap_mem_set_b,0x0011a328,0x0011a360,0x38
noop_wrapper_i,0x0011a360,0x0011a384,0x24
exception_handler,0x0011a388,0x0011a3dc,0x54
sub_11A3E0,0x0011a3e0,0x0011a450,0x70
sub_11A450,0x0011a450,0x0011a554,0x104
sub_11A558,0x0011a558,0x0011a5e0,0x88
noop_wrapper_j,0x0011a5e0,0x0011a5fc,0x1c
sub_11A600,0x0011a600,0x0011a6d8,0xd8
