name,start,end,size
sub_1F5950_tail002FCD10,0x002fcd10,0x002fcd80,0x70
sub_309F10_tail00305DE0,0x00305de0,0x00305de8,0x8
sub_309F30_tail00305DF0,0x00305df0,0x00305df8,0x8
sub_309FE0_tail00305E00,0x00305e00,0x00305e0c,0xc
sub_30A000_tail00305E10,0x00305e10,0x00305e18,0x8
sub_309F90_tail00307100,0x00307100,0x00307110,0x10
sub_30A020_tail00307A40,0x00307a40,0x00307aec,0xac
sub_30A050_tail00307F80,0x00307f80,0x00307f9c,0x1c
sub_30A320_tail00308600,0x00308600,0x00308608,0x8
sub_40B130_tail00343480,0x00343480,0x00343488,0x8
sub_370C80_tail003704B0,0x003704b0,0x003704b8,0x8
sub_3793D0_tail00377DA0,0x00377da0,0x00377db8,0x18
sub_37AA50_tail00379390,0x00379390,0x003793ac,0x1c
sub_398E10_tail00397C50,0x00397c50,0x00397c60,0x10
sub_3A2B60_tail003A26E0,0x003a26e0,0x003a26f4,0x14
sub_3A2B70_tail003A2700,0x003a2700,0x003a2754,0x54
sub_3A32F0_tail003A2ED0,0x003a2ed0,0x003a2ee4,0x14
sub_423608_tail00425028,0x00425028,0x00425114,0xec
sub_423608_tail00425118,0x00425118,0x004251d8,0xc0
sub_164650_tail00428190,0x00428190,0x00428198,0x8
sub_427870_tail0042A0E8,0x0042a0e8,0x0042a150,0x68
